日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.217,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.095,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.256,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.184,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.095,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.312,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.239,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.212,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.223,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.228,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.089,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.084,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.256,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.189,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.178,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.106,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.206,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.173,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.39,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.418,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.123,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.217,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.206,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.123,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.195,16.0,销售,是,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.195,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.329,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.15,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.039,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.345,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.084,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.178,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.117,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.106,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.178,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.245,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.295,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.139,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.145,18.0,销售,否,10.8,13.82
2020-07-01,102900005116530,西峡香菇(1),食用菌,0.134,18.0,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.167,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.722,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.197,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.394,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.232,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.48,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.111,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.177,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.182,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.308,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.333,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.242,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.338,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.258,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.111,19.8,销售,否,10.8,13.82
2020-07-02,102900005116530,西峡香菇(1),食用菌,0.207,19.8,销售,否,10.8,13.82
